dia,periodo,tipo_entrega,borda,refrigerante,valor_total,tempo
Sunday,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
Sunday,Pico,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
Sunday,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
Tuesday,Inicio,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
Tuesday,Inicio,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
Tuesday,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
Tuesday,Pico,Entrega,"Borda Nao","Refri Sim","vl 26-30","tp 22-33"
Tuesday,Final,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
Wednesday,Inicio,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
Wednesday,Inicio,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
Wednesday,Inicio,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 33-44"
Wednesday,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
Wednesday,Pico,Entrega,"Borda Sim","Refri Nao","vl 34-38","tp 33-44"
Wednesday,Final,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
Wednesday,Final,Buscar,"Borda Nao","Refri Nao","vl 14-18","tp 22-33"
Wednesday,Final,Buscar,"Borda Nao","Refri Sim","vl 30-34","tp 33-44"
Thursday,Inicio,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 10-22"
Thursday,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
Thursday,Pico,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
Thursday,Pico,Buscar,"Borda Nao","Refri Nao","vl 38-42","tp 33-44"
Thursday,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
Thursday,Pico,Buscar,"Borda Nao","Refri Nao","vl 14-18","tp 22-33"
Thursday,Pico,Entrega,"Borda Nao","Refri Sim","vl 26-30","tp 22-33"
Thursday,Pico,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
Thursday,Final,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
Thursday,Final,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
Thursday,Final,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
Friday,Inicio,Entrega,"Borda Nao","Refri Sim","vl 30-34","tp 33-44"
Friday,Inicio,Buscar,"Borda Nao","Refri Nao","vl 14-18","tp 33-44"
Friday,Inicio,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
Friday,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 33-44"
Friday,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
Friday,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
Friday,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
Friday,Pico,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
